punt_google,152
punt_amazon,139
file_name,pos_amazon,pos_google,score_amazon,score_google
apple_01,2,8,0.9,0.3
apple_02,1,2,1.0,0.9
apple_03,1,4,1.0,0.7
apple_04,11,5,0.0,0.6
apple_05,1,1,1.0,1.0
apple_06,1,2,1.0,0.9
apple_07,1,1,1.0,1.0
apple_08,1,3,1.0,0.8
apple_09,1,2,1.0,0.9
apple_10,1,3,1.0,0.8
apple_11,1,5,1.0,0.6
apple_12,1,2,1.0,0.9
apple_13,1,3,1.0,0.8
apple_14,1,2,1.0,0.9
apple_15,1,3,1.0,0.8
avocado_01,1,2,1.0,0.9
avocado_02,1,1,1.0,1.0
avocado_03,1,3,1.0,0.8
avocado_04,1,2,1.0,0.9
avocado_05,11,11,0.0,0.0
avocado_06,1,3,1.0,0.8
avocado_07,1,1,1.0,1.0
avocado_08,1,2,1.0,0.9
avocado_09,1,1,1.0,1.0
avocado_10,1,1,1.0,1.0
avocado_11,1,1,1.0,1.0
avocado_12,11,1,0.0,1.0
avocado_13,1,1,1.0,1.0
avocado_14,1,11,1.0,0.0
avocado_15,1,1,1.0,1.0
banana_00,1,1,1.0,1.0
banana_01,1,1,1.0,1.0
banana_02,1,1,1.0,1.0
banana_03,1,1,1.0,1.0
banana_04,1,1,1.0,1.0
banana_05,1,6,1.0,0.5
banana_06,1,1,1.0,1.0
banana_07,1,1,1.0,1.0
banana_08,1,1,1.0,1.0
banana_09,1,7,1.0,0.4
banana_10,1,4,1.0,0.7
banana_11,1,2,1.0,0.9
banana_12,1,1,1.0,1.0
banana_13,1,2,1.0,0.9
banana_14,1,1,1.0,1.0
banana_15,1,1,1.0,1.0
carrot_01,1,1,1.0,1.0
carrot_02,1,1,1.0,1.0
carrot_03,1,1,1.0,1.0
carrot_04,1,1,1.0,1.0
carrot_05,1,1,1.0,1.0
carrot_06,1,1,1.0,1.0
carrot_07,1,1,1.0,1.0
carrot_08,1,2,1.0,0.9
carrot_09,1,1,1.0,1.0
carrot_10,1,1,1.0,1.0
carrot_11,1,1,1.0,1.0
carrot_12,1,1,1.0,1.0
carrot_13,1,1,1.0,1.0
carrot_14,1,1,1.0,1.0
carrot_15,1,1,1.0,1.0
cheese_01,11,1,0.0,1.0
cheese_02,11,1,0.0,1.0
cheese_03,11,11,0.0,0.0
cheese_04,11,1,0.0,1.0
cheese_05,11,1,0.0,1.0
cheese_06,11,1,0.0,1.0
cheese_07,11,11,0.0,0.0
cheese_08,11,11,0.0,0.0
cheese_09,11,1,0.0,1.0
cheese_10,11,11,0.0,0.0
cheese_11,11,2,0.0,0.9
cheese_12,11,11,0.0,0.0
cheese_13,11,11,0.0,0.0
cheese_14,11,11,0.0,0.0
cheese_15,11,2,0.0,0.9
chicken_00,11,11,0.0,0.0
chicken_01,11,11,0.0,0.0
chicken_02,11,11,0.0,0.0
chicken_03,11,11,0.0,0.0
chicken_04,11,11,0.0,0.0
chicken_05,11,11,0.0,0.0
chicken_06,11,11,0.0,0.0
chicken_07,11,11,0.0,0.0
chicken_08,11,11,0.0,0.0
chicken_09,11,11,0.0,0.0
chicken_10,11,11,0.0,0.0
chicken_11,11,11,0.0,0.0
chicken_12,11,11,0.0,0.0
chicken_13,11,11,0.0,0.0
chicken_14,11,11,0.0,0.0
chicken_15,11,11,0.0,0.0
chilli_01,11,11,0.0,0.0
chilli_02,11,11,0.0,0.0
chilli_03,11,11,0.0,0.0
chilli_04,11,11,0.0,0.0
chilli_05,11,11,0.0,0.0
chilli_06,11,11,0.0,0.0
chilli_07,11,11,0.0,0.0
chilli_08,11,11,0.0,0.0
chilli_09,11,11,0.0,0.0
chilli_10,11,11,0.0,0.0
chilli_11,11,11,0.0,0.0
chilli_12,11,11,0.0,0.0
chilli_13,11,11,0.0,0.0
chilli_14,11,11,0.0,0.0
chilli_15,11,11,0.0,0.0
chocolate_01,1,1,1.0,1.0
chocolate_02,1,1,1.0,1.0
chocolate_03,1,1,1.0,1.0
chocolate_04,1,1,1.0,1.0
chocolate_05,1,1,1.0,1.0
chocolate_06,1,1,1.0,1.0
chocolate_07,11,2,0.0,0.9
chocolate_08,1,2,1.0,0.9
chocolate_09,1,1,1.0,1.0
chocolate_11,1,11,1.0,0.0
chocolate_12,1,1,1.0,1.0
chocolate_13,1,1,1.0,1.0
chocolate_14,1,1,1.0,1.0
chocolate_15,11,1,0.0,1.0
cucumber_01,1,1,1.0,1.0
cucumber_02,1,4,1.0,0.7
cucumber_03,1,3,1.0,0.8
cucumber_04,1,2,1.0,0.9
cucumber_05,1,1,1.0,1.0
cucumber_06,1,2,1.0,0.9
cucumber_07,1,2,1.0,0.9
cucumber_08,1,2,1.0,0.9
cucumber_09,7,11,0.4,0.0
cucumber_10,1,3,1.0,0.8
cucumber_11,1,2,1.0,0.9
cucumber_12,1,2,1.0,0.9
cucumber_13,1,3,1.0,0.8
cucumber_14,1,2,1.0,0.9
cucumber_15,1,2,1.0,0.9
egg_00,1,2,1.0,0.9
egg_01,1,2,1.0,0.9
egg_02,1,2,1.0,0.9
egg_03,1,2,1.0,0.9
egg_04,1,2,1.0,0.9
egg_05,1,2,1.0,0.9
egg_06,1,2,1.0,0.9
egg_07,1,2,1.0,0.9
egg_08,1,2,1.0,0.9
egg_09,4,2,0.7,0.9
egg_10,4,2,0.7,0.9
egg_11,1,2,1.0,0.9
egg_12,1,2,1.0,0.9
egg_13,1,2,1.0,0.9
egg_14,1,2,1.0,0.9
egg_15,1,2,1.0,0.9
eggplant_01,1,4,1.0,0.7
eggplant_02,9,11,0.2,0.0
eggplant_03,1,4,1.0,0.7
eggplant_04,1,6,1.0,0.5
eggplant_05,1,6,1.0,0.5
eggplant_06,11,11,0.0,0.0
eggplant_07,1,4,1.0,0.7
eggplant_08,1,11,1.0,0.0
eggplant_09,1,2,1.0,0.9
eggplant_10,1,2,1.0,0.9
eggplant_11,1,3,1.0,0.8
eggplant_12,1,11,1.0,0.0
eggplant_13,1,2,1.0,0.9
eggplant_14,11,11,0.0,0.0
eggplant_15,1,11,1.0,0.0
flour_01,11,11,0.0,0.0
flour_02,11,1,0.0,1.0
flour_03,11,1,0.0,1.0
flour_04,11,1,0.0,1.0
flour_05,11,11,0.0,0.0
flour_06,11,1,0.0,1.0
flour_07,1,1,1.0,1.0
flour_08,1,4,1.0,0.7
flour_09,11,1,0.0,1.0
flour_10,11,1,0.0,1.0
flour_11,11,1,0.0,1.0
flour_12,11,1,0.0,1.0
flour_13,11,1,0.0,1.0
flour_14,11,1,0.0,1.0
flour_15,11,11,0.0,0.0
garlic_01,3,1,0.8,1.0
garlic_02,3,1,0.8,1.0
garlic_03,3,1,0.8,1.0
garlic_04,3,1,0.8,1.0
garlic_05,3,1,0.8,1.0
garlic_06,3,1,0.8,1.0
garlic_07,3,11,0.8,0.0
garlic_08,3,1,0.8,1.0
garlic_09,3,1,0.8,1.0
garlic_10,3,1,0.8,1.0
garlic_11,3,2,0.8,0.9
garlic_12,3,1,0.8,1.0
garlic_13,3,1,0.8,1.0
garlic_14,3,1,0.8,1.0
garlic_15,3,11,0.8,0.0
hake_01,11,11,0.0,0.0
hake_02,11,11,0.0,0.0
hake_03,11,11,0.0,0.0
hake_04,11,11,0.0,0.0
hake_05,11,11,0.0,0.0
hake_06,11,11,0.0,0.0
hake_07,11,11,0.0,0.0
hake_08,11,11,0.0,0.0
hake_09,11,11,0.0,0.0
hake_10,11,11,0.0,0.0
hake_11,11,11,0.0,0.0
hake_12,11,11,0.0,0.0
hake_13,11,11,0.0,0.0
hake_14,11,11,0.0,0.0
hake_15,11,11,0.0,0.0
honey_01,11,3,0.0,0.8
honey_02,2,1,0.9,1.0
honey_03,2,1,0.9,1.0
honey_04,2,1,0.9,1.0
honey_05,2,1,0.9,1.0
honey_06,2,1,0.9,1.0
honey_07,4,11,0.7,0.0
honey_08,2,6,0.9,0.5
honey_09,2,1,0.9,1.0
honey_10,2,1,0.9,1.0
honey_11,2,1,0.9,1.0
honey_12,2,7,0.9,0.4
honey_13,4,11,0.7,0.0
honey_14,2,11,0.9,0.0
honey_15,2,1,0.9,1.0
kiwi_00,4,11,0.7,0.0
kiwi_01,6,11,0.5,0.0
kiwi_02,4,11,0.7,0.0
kiwi_03,4,11,0.7,0.0
kiwi_04,4,11,0.7,0.0
kiwi_05,4,11,0.7,0.0
kiwi_06,4,11,0.7,0.0
kiwi_07,4,7,0.7,0.4
kiwi_08,4,7,0.7,0.4
kiwi_09,4,11,0.7,0.0
kiwi_10,11,11,0.0,0.0
kiwi_11,4,4,0.7,0.7
kiwi_12,4,11,0.7,0.0
kiwi_13,11,11,0.0,0.0
kiwi_14,4,11,0.7,0.0
kiwi_15,4,11,0.7,0.0
lemon_01,6,4,0.5,0.7
lemon_02,6,2,0.5,0.9
lemon_03,6,2,0.5,0.9
lemon_04,6,1,0.5,1.0
lemon_05,8,3,0.3,0.8
lemon_06,6,1,0.5,1.0
lemon_07,11,3,0.0,0.8
lemon_08,6,1,0.5,1.0
lemon_09,11,3,0.0,0.8
lemon_10,11,2,0.0,0.9
lemon_11,6,2,0.5,0.9
lemon_12,6,1,0.5,1.0
lemon_13,6,3,0.5,0.8
lemon_14,6,1,0.5,1.0
lemon_15,6,2,0.5,0.9
lettuce_00,11,9,0.0,0.2
lettuce_01,3,5,0.8,0.6
lettuce_02,8,5,0.3,0.6
lettuce_03,3,5,0.8,0.6
lettuce_04,3,5,0.8,0.6
lettuce_05,8,8,0.3,0.3
lettuce_06,3,2,0.8,0.9
lettuce_07,3,3,0.8,0.8
lettuce_08,3,3,0.8,0.8
lettuce_09,3,4,0.8,0.7
lettuce_10,3,5,0.8,0.6
lettuce_11,3,4,0.8,0.7
lettuce_12,3,3,0.8,0.8
lettuce_13,11,4,0.0,0.7
lettuce_14,3,8,0.8,0.3
lettuce_15,6,3,0.5,0.8
onion_01,7,4,0.4,0.7
onion_02,7,2,0.4,0.9
onion_03,7,11,0.4,0.0
onion_04,7,1,0.4,1.0
onion_05,3,4,0.8,0.7
onion_06,7,1,0.4,1.0
onion_07,3,2,0.8,0.9
onion_08,7,2,0.4,0.9
onion_09,7,1,0.4,1.0
onion_10,7,4,0.4,0.7
onion_11,3,2,0.8,0.9
onion_12,3,3,0.8,0.8
onion_13,7,1,0.4,1.0
onion_14,3,1,0.8,1.0
onion_15,3,2,0.8,0.9
orange_01,6,4,0.5,0.7
orange_02,11,9,0.0,0.2
orange_03,6,6,0.5,0.5
orange_04,6,8,0.5,0.3
orange_05,7,11,0.4,0.0
orange_06,6,6,0.5,0.5
orange_07,6,11,0.5,0.0
orange_08,8,7,0.3,0.4
orange_09,9,9,0.2,0.2
orange_10,11,6,0.0,0.5
orange_11,11,7,0.0,0.4
orange_12,8,11,0.3,0.0
orange_13,6,11,0.5,0.0
orange_14,6,7,0.5,0.4
orange_15,11,7,0.0,0.4
macarroni_01,11,11,0.0,0.0
macarroni_02,11,11,0.0,0.0
macarroni_03,11,11,0.0,0.0
macarroni_05,11,11,0.0,0.0
macarroni_06,11,11,0.0,0.0
noodles_01,11,11,0.0,0.0
noodles_02,11,11,0.0,0.0
noodles_03,11,11,0.0,0.0
spaghetti_01,11,11,0.0,0.0
spaghetti_02,11,11,0.0,0.0
spaghetti_03,11,11,0.0,0.0
spaghetti_04,11,11,0.0,0.0
spaghetti_05,11,11,0.0,0.0
spirals_01,11,11,0.0,0.0
spirals_02,11,11,0.0,0.0
pear_01,4,1,0.7,1.0
pear_02,4,4,0.7,0.7
pear_03,4,1,0.7,1.0
pear_04,8,3,0.3,0.8
pear_05,4,4,0.7,0.7
pear_06,4,8,0.7,0.3
pear_07,4,2,0.7,0.9
pear_08,7,1,0.4,1.0
pear_09,10,5,0.1,0.6
pear_10,4,2,0.7,0.9
pear_11,11,3,0.0,0.8
pear_12,4,4,0.7,0.7
pear_13,4,2,0.7,0.9
pear_14,4,4,0.7,0.7
pear_15,4,4,0.7,0.7
pepper_00,4,11,0.7,0.0
pepper_01,4,11,0.7,0.0
pepper_02,4,11,0.7,0.0
pepper_03,4,11,0.7,0.0
pepper_04,4,11,0.7,0.0
pepper_05,4,11,0.7,0.0
pepper_06,4,11,0.7,0.0
pepper_07,4,11,0.7,0.0
pepper_08,4,11,0.7,0.0
pepper_09,4,11,0.7,0.0
pepper_10,4,11,0.7,0.0
pepper_11,4,11,0.7,0.0
pepper_12,4,11,0.7,0.0
pepper_13,4,11,0.7,0.0
pepper_14,4,11,0.7,0.0
pepper_15,4,11,0.7,0.0
potato_01,4,2,0.7,0.9
potato_02,4,2,0.7,0.9
potato_03,4,2,0.7,0.9
potato_04,11,1,0.0,1.0
potato_05,11,4,0.0,0.7
potato_06,4,3,0.7,0.8
potato_07,11,11,0.0,0.0
potato_08,4,2,0.7,0.9
potato_09,4,1,0.7,1.0
potato_10,4,2,0.7,0.9
potato_11,4,2,0.7,0.9
potato_12,4,1,0.7,1.0
potato_13,11,2,0.0,0.9
potato_14,11,11,0.0,0.0
potato_15,4,2,0.7,0.9
pumpkin_01,7,11,0.4,0.0
pumpkin_02,5,3,0.6,0.8
pumpkin_03,5,5,0.6,0.6
pumpkin_04,5,5,0.6,0.6
pumpkin_05,7,11,0.4,0.0
pumpkin_06,11,5,0.0,0.6
pumpkin_07,11,11,0.0,0.0
pumpkin_08,11,11,0.0,0.0
pumpkin_09,5,10,0.6,0.1
pumpkin_10,11,11,0.0,0.0
pumpkin_12,7,8,0.4,0.3
pumpkin_13,5,1,0.6,1.0
pumpkin_14,11,11,0.0,0.0
pumpkin_15,11,11,0.0,0.0
rice_01,6,5,0.5,0.6
rice_02,6,3,0.5,0.8
rice_03,6,1,0.5,1.0
rice_04,6,3,0.5,0.8
rice_05,6,4,0.5,0.7
rice_06,6,1,0.5,1.0
rice_07,6,3,0.5,0.8
rice_08,6,4,0.5,0.7
rice_09,8,4,0.3,0.7
rice_10,6,3,0.5,0.8
rice_11,6,3,0.5,0.8
rice_12,6,3,0.5,0.8
rice_13,6,3,0.5,0.8
rice_14,6,2,0.5,0.9
rice_15,6,2,0.5,0.9
salmon_01,11,2,0.0,0.9
salmon_02,11,3,0.0,0.8
salmon_03,11,3,0.0,0.8
salmon_04,11,3,0.0,0.8
salmon_05,11,5,0.0,0.6
salmon_06,11,4,0.0,0.7
salmon_07,11,3,0.0,0.8
salmon_08,11,4,0.0,0.7
salmon_09,11,2,0.0,0.9
salmon_10,11,4,0.0,0.7
salmon_11,11,4,0.0,0.7
salmon_12,11,3,0.0,0.8
salmon_13,11,3,0.0,0.8
salmon_14,11,3,0.0,0.8
salmon_15,11,3,0.0,0.8
sugar_01,11,11,0.0,0.0
sugar_02,11,11,0.0,0.0
sugar_03,11,11,0.0,0.0
sugar_04,11,11,0.0,0.0
sugar_05,11,11,0.0,0.0
sugar_07,2,11,0.9,0.0
sugar_08,11,11,0.0,0.0
sugar_09,11,11,0.0,0.0
sugar_10,11,11,0.0,0.0
sugar_11,11,11,0.0,0.0
sugar_12,11,11,0.0,0.0
sugar_13,11,11,0.0,0.0
sugar_14,11,11,0.0,0.0
sugar_15,11,11,0.0,0.0
tomato_01,11,8,0.0,0.3
tomato_02,6,4,0.5,0.7
tomato_03,8,5,0.3,0.6
tomato_04,8,6,0.3,0.5
tomato_05,5,2,0.6,0.9
tomato_06,6,4,0.5,0.7
tomato_07,11,6,0.0,0.5
tomato_08,5,7,0.6,0.4
tomato_09,11,11,0.0,0.0
tomato_10,8,6,0.3,0.5
tomato_11,8,2,0.3,0.9
tomato_12,7,4,0.4,0.7
tomato_13,5,6,0.6,0.5
tomato_14,9,4,0.2,0.7
tomato_15,9,11,0.2,0.0
zucchini_01,8,10,0.3,0.1
zucchini_02,8,3,0.3,0.8
zucchini_03,7,11,0.4,0.0
zucchini_04,7,11,0.4,0.0
zucchini_05,7,11,0.4,0.0
zucchini_06,7,11,0.4,0.0
zucchini_07,11,11,0.0,0.0
zucchini_08,7,11,0.4,0.0
zucchini_09,8,11,0.3,0.0
zucchini_10,11,11,0.0,0.0
zucchini_11,8,11,0.3,0.0
zucchini_12,10,11,0.1,0.0
zucchini_13,8,11,0.3,0.0
zucchini_14,8,11,0.3,0.0
zucchini_15,7,11,0.4,0.0
